startDate,endDate,duration,distance,unit,calories
2021-08-26 18:30:02 -0800,2021-08-26 19:30:18 -0800,60.2707082827886,2750,yd,436.434
2021-08-30 18:35:11 -0800,2021-08-30 19:32:01 -0800,56.82205496629079,2100,yd,349.411
2021-09-01 18:31:45 -0800,2021-09-01 19:31:11 -0800,59.42508161664009,2450,yd,387.257
2021-09-03 10:42:47 -0800,2021-09-03 11:29:32 -0800,46.75379231770833,2100,yd,322.466
2021-09-04 07:40:08 -0800,2021-09-04 08:31:54 -0800,51.7683026154836,2075,yd,333.107
2021-09-07 18:32:17 -0800,2021-09-07 19:31:17 -0800,58.99639365077019,2200,yd,351.741
2021-09-09 18:31:55 -0800,2021-09-09 19:30:38 -0800,58.71512209971745,2200,yd,364.294
2021-09-11 07:34:20 -0800,2021-09-11 08:44:04 -0800,69.73548176685969,2400,yd,394.304
2021-09-13 18:33:16 -0800,2021-09-13 19:31:54 -0800,58.62285653352738,1900,yd,323.269
2021-09-15 18:33:02 -0800,2021-09-15 19:29:51 -0800,56.81421326597532,1350,yd,243.03
2021-09-17 10:39:56 -0800,2021-09-17 11:30:52 -0800,50.94473206599553,1975,yd,321.806
2021-09-18 07:36:07 -0800,2021-09-18 08:33:41 -0800,57.58215153217316,1775,yd,324.085
2021-10-18 10:08:42 -0800,2021-10-18 10:18:11 -0800,9.485066350301107,260.523,yd,60.913
2021-10-18 13:37:13 -0800,2021-10-18 14:16:39 -0800,22.66999620000521,1114.39,yd,202.358
2021-10-19 09:48:22 -0800,2021-10-19 10:02:29 -0800,14.12257048487663,487.409,yd,109.654
2021-10-19 13:23:20 -0800,2021-10-19 14:32:20 -0800,69.00080475012462,2637.45,yd,608.178
2021-10-20 08:10:33 -0800,2021-10-20 09:42:53 -0800,86.13695203463236,2890.1,yd,649.606
2021-10-20 13:28:36 -0800,2021-10-20 14:29:09 -0800,55.72675331433614,1856.73,yd,455.587
